	0
98	"
"
99	He was a baby on 9/11. Now he’s one of the last casualties of America’s longest war.
100	https://www.nytimes.com/2021/08/27/world/asia/marine-killed.html
101	"
"
102	A study confirms a small risk of blood clots after vaccines, but not as high as the risk Covid brings.
103	https://www.nytimes.com/2021/08/27/health/blood-clots-coronavirus.html
104	"
"
105	Italian Official Resigns After Uproar Over Honoring Mussolini’s Brother
106	https://www.nytimes.com/2021/08/27/world/europe/claudio-durigon-italy-resigns-fascist-park.html
107	"
"
108	Fossils Seized in Police Raid Demystify a Prehistoric Flying Reptile
109	https://www.nytimes.com/2021/08/27/science/pterosaur-fossil.html
110	"
"
